"Amplop CD  Bahan kertas , 100 buah/pak",1,21000
Amplop coklat  Polos ukuran A4,1,26500
Amplop coklat  Polos ukuran double folio,1,49500
Amplop Putih Royal Polos No. 90 berperekat,2,12000
Amplop Putih Paperline Polos No. 104 berperekat,2,8000
Amplop Putih Paperline Polos No. 110 berperekat,2,10500
"Ballpoint  Standard AE7 Alpa TIP 0,5 Tinta hitam isi 12/dus setara Standard AE7",2,10000
"Ballpoint  FASTER, C-600 Tinta hitam isi 12/dus setara Faster C-600",2,21000
"Ballpoint  Boxy, UB-105 Tinta hitam isi 12/dus setara Boxy UB-105",2,60000
Ballpoint  Pilot Ball Liner Tinta hitam isi 12/dus setara Pilot ball Liner,2,130000
Baterai ABC 9 volt persegi,3,8000
"Baterai ABC Alkaline , ukuran AAA isi 2 buah/set",8,7500
"Baterai ABC Alkaline, ukuran AA isi 2 buah/set",8,7500
Baterai ABC Ukuran D (besar),3,3875
Binder Clips  Joyko No. 260 setara Joyko/Kenko 12 buah/dus,2,11000
Binder Clips  Joyko No. 155 setara Joyko/Kenko  12 buah/dus,2,4000
Binder Clips  Joyko No. 111 setara Joyko/Kenko  12 buah/dus,2,3000
Binder Clips  Joyko No. 107 setara Joyko/Kenko  12 buah/dus,2,2100
"Box file Bindex Bahan karton, ukuran jumbo setara Bindex",3,11150
Buku ekspedisi AA isi 100 lembar,3,8500
Buku kuitansi AA isi 50 lembar ukuran besar,3,3000
Buku Tulis AA Ukuran Folio Hard Cover isi 100 lembar,3,10500
Buku Tulis AA Ukuran Kwarto Hard Cover isi 100 lembar,3,4500
Cairan penghapus Tipp Ex+ tinner/ Set Retype 1 set 2 botol (cairan penghapus dan thinner),8,5000
Cairan penghapus Kenko  Correction pen,3,3000
"CD R Sony  Spindel, isi 50 keping/pak setara Sony/verbatim",1,100000
CD RW Verbatim 700 MB + Casing setara Sony/verbatim,10,9500
"Celotape  Panfix ukuran 1/2"" x 72 yard setara panfix",5,8500
"Celotape  Panfix ukuran 1"" x 72 yard setara panfix",5,17300
